instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,day_of_week,hour_of_day,season_name,weather_condition,casual_pct,registered_pct,usage_level,user_cluster,weather_group,behavior_cluster,demand_level,rush_category,TimeCluster
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2011,1,1,Saturday,0,Spring,Cerah,18.75,81.25,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,2011,1,1,Saturday,1,Spring,Cerah,20.0,80.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2011,1,1,Saturday,2,Spring,Cerah,15.625,84.375,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,2011,1,1,Saturday,3,Spring,Cerah,23.076923076923077,76.92307692307693,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,2011,1,1,Saturday,4,Spring,Cerah,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,2011,1,1,Saturday,5,Spring,Berawan,0.0,100.0,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Off Time
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2011,1,1,Saturday,6,Spring,Cerah,100.0,0.0,Low,Casual Dominant,Good Weather,Low | Casual Dominant | Good Weather,Low,Non-Rush Hour,Off Time
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,2011,1,1,Saturday,7,Spring,Cerah,33.33333333333333,66.66666666666666,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,2011,1,1,Saturday,8,Spring,Cerah,12.5,87.5,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Rush Hour,Commute Time
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,2011,1,1,Saturday,9,Spring,Cerah,57.14285714285714,42.857142857142854,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Rush Hour,Commute Time
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,2011,1,1,Saturday,10,Spring,Cerah,33.33333333333333,66.66666666666666,Low,Registered Dominant,Good Weather,Low | Registered Dominant | Good Weather,Low,Non-Rush Hour,Leisure Time
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,2011,1,1,Saturday,11,Spring,Cerah,46.42857142857143,53.57142857142857,Low,Balanced,Good Weather,Low | Balanced | Good Weather,Low,Non-Rush Hour,Leisure Time
